model,dropout,surface,trial,rmse_bps,epp_bps,time_ms,epochs_trained
ICNN,0.2,14,0,548.5824269691857,0.0,2303.8790225982666,179
ICNN,0.2,14,1,839.5226881832468,0.0,3812.4964237213135,230
ICNN,0.2,14,2,749.6577578316316,0.0,2237.793207168579,174
ICNN,0.4,14,0,680.7771182676531,0.0,2116.1179542541504,168
ICNN,0.4,14,1,724.1589352908994,0.0,2573.9736557006836,179
ICNN,0.4,14,2,631.6317788690809,0.0,2443.9103603363037,184
ICNN,0.6,14,0,599.8601282111468,0.0,2219.343900680542,185
ICNN,0.6,14,1,551.2603218514632,0.0,2585.6518745422363,201
ICNN,0.6,14,2,623.4272812499513,0.0,2651.6666412353516,219
ICNN,0.2,15,0,691.5212627317148,0.0,2087.81361579895,166
ICNN,0.2,15,1,719.7336264425313,0.0,3426.858901977539,166
ICNN,0.2,15,2,566.2578899735837,0.0,4217.111825942993,200
ICNN,0.4,15,0,651.6023593269084,0.0,2196.3160037994385,177
ICNN,0.4,15,1,791.5866453024437,0.0,2071.37393951416,165
ICNN,0.4,15,2,885.4424222297085,0.0,2050.278902053833,162
ICNN,0.6,15,0,686.9585281595963,0.0,2182.7991008758545,179
ICNN,0.6,15,1,921.6510278400319,0.0,2014.7459506988525,164
ICNN,0.6,15,2,618.8311852714313,0.0,2412.917375564575,202
ICNN,0.2,16,0,442.65284712919816,0.0,2399.4314670562744,181
ICNN,0.2,16,1,484.5395675295703,0.0,2697.0670223236084,207
ICNN,0.2,16,2,580.6972371133668,0.0,2176.316261291504,168
ICNN,0.4,16,0,626.3030027305342,0.0,2824.9006271362305,227
ICNN,0.4,16,1,714.2592357858242,0.0,2493.912935256958,197
ICNN,0.4,16,2,641.5523201382326,0.0,2816.8904781341553,226
ICNN,0.6,16,0,530.9371110006709,0.0,2216.299057006836,182
ICNN,0.6,16,1,689.4222250748766,0.0,2645.493745803833,214
ICNN,0.6,16,2,711.116790935332,0.0,2646.3029384613037,220
ICNN,0.2,17,0,906.8226743642964,0.0,2907.453775405884,227
ICNN,0.2,17,1,577.264189220484,0.0,2615.1344776153564,199
ICNN,0.2,17,2,586.1188018201022,0.0,3267.777681350708,253
ICNN,0.4,17,0,803.7255782955798,0.0,2938.610792160034,235
ICNN,0.4,17,1,670.4092725153251,0.0,2347.4013805389404,190
ICNN,0.4,17,2,849.3684187007439,0.0,2219.3350791931152,178
ICNN,0.6,17,0,621.2399150461761,0.0,2913.597583770752,227
ICNN,0.6,17,1,857.1490105860414,0.0,3049.1926670074463,228
ICNN,0.6,17,2,730.7371059939746,0.0,2326.375722885132,192
ICNN,0.2,18,0,814.4349210278899,0.0,2453.551769256592,192
ICNN,0.2,18,1,459.1677408659384,0.0,2310.852527618408,178
ICNN,0.2,18,2,657.1091871883684,0.0,2812.1302127838135,219
ICNN,0.4,18,0,548.9608490777397,0.0,2720.519542694092,216
ICNN,0.4,18,1,668.4781374372304,0.0,2280.8854579925537,180
ICNN,0.4,18,2,565.4888581283008,0.0,2380.3858757019043,191
ICNN,0.6,18,0,838.1708920884518,0.0,2283.8618755340576,186
ICNN,0.6,18,1,798.5983316656051,0.0,2172.2042560577393,173
ICNN,0.6,18,2,518.8056956208462,0.0,2868.690252304077,189
ICNN,0.2,19,0,719.2166833385048,0.0,3421.8902587890625,176
ICNN,0.2,19,1,930.8474232647857,0.0,3403.39732170105,167
ICNN,0.2,19,2,847.9753166345544,0.0,2927.661895751953,196
ICNN,0.4,19,0,631.1553867697463,0.0,2629.8348903656006,171
ICNN,0.4,19,1,624.2048575780818,0.0,3269.3138122558594,206
ICNN,0.4,19,2,639.508884103234,0.0,2211.3277912139893,165
ICNN,0.6,19,0,712.2280454885432,0.0,2459.9461555480957,189
ICNN,0.6,19,1,586.2981851169367,0.0,2126.3132095336914,170
ICNN,0.6,19,2,607.819018254382,0.0,2138.310432434082,177
ICNN,0.2,20,0,660.6911628443697,0.0,2313.080072402954,178
ICNN,0.2,20,1,505.55724436121704,0.0,2257.366895675659,176
ICNN,0.2,20,2,560.112449405627,0.0,2192.314386367798,171
ICNN,0.4,20,0,498.54950020600893,0.0,2658.515453338623,194
ICNN,0.4,20,1,497.9832712870269,0.0,2480.4601669311523,202
ICNN,0.4,20,2,487.22657625953974,0.0,2299.8838424682617,186
ICNN,0.6,20,0,495.10261265453437,0.0,2338.3967876434326,190
ICNN,0.6,20,1,575.9910308934543,0.0,2076.305389404297,171
ICNN,0.6,20,2,544.7994398846657,0.0,2721.3265895843506,222
ICNN,0.2,21,0,696.5483324583735,0.0,2754.0597915649414,215
ICNN,0.2,21,1,494.699764832467,0.0,2920.5853939056396,227
ICNN,0.2,21,2,492.60988508481825,0.0,2439.4097328186035,192
ICNN,0.4,21,0,660.558582489759,0.0,2237.3273372650146,180
