model,dropout,surface,trial,rmse_bps,epp_bps,regime,asset,time_ms
SVI,0.2,12,1,490.8701176416454,0.0,normal,EURUSD,
CINN,0.2,12,1,709.7398331730367,0.0,normal,EURUSD,9331.581830978394
MLP,0.2,12,1,1080.9226361875806,0.0,normal,EURUSD,9135.826826095581
SVI,0.2,12,2,580.6983996867067,0.0,normal,EURUSD,
CINN,0.2,12,2,1255.6781751753983,0.0,normal,EURUSD,9024.76191520691
MLP,0.2,12,2,1092.7058970617823,0.0,normal,EURUSD,9354.29835319519
SVI,0.4,12,0,726.3505213289819,0.0,normal,EURUSD,
CINN,0.4,12,0,785.1984022307727,0.0,normal,EURUSD,4844.696998596191
MLP,0.4,12,0,1144.6720099974573,0.0,normal,EURUSD,5135.525703430176
SVI,0.4,12,1,828.5414275090939,0.0,normal,EURUSD,
CINN,0.4,12,1,1436.563244081702,0.0,normal,EURUSD,4847.4297523498535
MLP,0.4,12,1,988.1995676734849,0.0,normal,EURUSD,4662.519454956055
SVI,0.4,12,2,541.9037885239696,0.0,normal,EURUSD,
CINN,0.4,12,2,1022.7830546155163,0.0,normal,EURUSD,4666.682243347168
MLP,0.4,12,2,1231.495373213803,0.0,normal,EURUSD,4769.413709640503
SVI,0.6,12,0,823.4515651793175,0.0,normal,EURUSD,
CINN,0.6,12,0,1258.1358274081122,0.0,normal,EURUSD,4505.687475204468
MLP,0.6,12,0,874.792091542459,0.0,normal,EURUSD,4954.5347690582275
SVI,0.6,12,1,889.91716876315,0.0,normal,EURUSD,
