model,dropout,rmse_bps,epp_bps,time_ms
AH,0.6,743.8711891972878,0.0,15.513181686401367
AH (PL),0.6,11177.257842925785,0.0,1417.447805404663
AH,0.6,1019.9166629151447,0.0,18.513202667236328
AH (PL),0.6,16120.984546725449,0.0,1642.0314311981201
AH,0.2,1043.4468158812813,0.0,36.52477264404297
AH (PL),0.2,12428.477859655806,0.0,3509.0551376342773
AH,0.2,1611.5632867973015,0.0,39.534568786621094
AH (PL),0.2,10886.50542027078,0.0,3581.9191932678223
AH,0.4,961.9342410328447,0.0,30.023574829101562
AH (PL),0.4,12837.041397984352,0.0,2687.084197998047
AH,0.4,1196.0490017053758,0.0,30.522584915161133
AH (PL),0.4,12944.567377123725,0.0,2514.0275955200195
AH,0.6,866.4539556960675,0.0,21.00539207458496
AH (PL),0.6,14015.486594180415,0.0,1885.5197429656982
AH,0.6,600.0598051837387,0.0,18.51344108581543
AH (PL),0.6,8647.840640032802,0.0,1677.1461963653564
AH,0.2,1064.5490550583884,0.0,39.0317440032959
AH (PL),0.2,10352.425411724993,0.0,3797.5378036499023
AH,0.2,2786.9805395876524,0.0,36.008358001708984
AH (PL),0.2,13583.090028107563,0.0,3427.02579498291
AH,0.4,907.5351040434534,0.0,32.02033042907715
AH (PL),0.4,11384.041438853767,0.0,2920.686721801758
AH,0.4,964.8310937521677,0.0,26.990652084350586
AH (PL),0.4,10660.972635493266,0.0,2447.5154876708984
AH,0.6,894.5482335525115,0.0,22.00460433959961
AH (PL),0.6,10481.250768409567,0.0,2101.8872261047363
AH,0.6,847.3616965076689,0.0,21.518230438232422
AH (PL),0.6,12687.518662017226,0.0,1792.834997177124
AH,0.2,1190.4965427520312,0.0,40.02523422241211
AH (PL),0.2,16213.04341773119,0.0,3899.6338844299316
AH,0.2,727.6987868198898,0.0,39.51430320739746
AH (PL),0.2,12908.47014874065,0.0,3809.5836639404297
AH,0.4,671.4881352894272,0.0,30.009984970092773
AH (PL),0.4,13467.022663355483,0.0,2793.8339710235596
AH,0.4,1195.4521964109372,0.0,29.518604278564453
AH (PL),0.4,13683.44507793411,0.0,2520.4386711120605
AH,0.6,682.3139224679875,0.0,23.005247116088867
AH (PL),0.6,12442.858754024573,0.0,1983.095407485962
AH,0.6,1016.5630792773893,0.0,19.017696380615234
AH (PL),0.6,11926.921784894928,0.0,1713.9043807983398
